Ticker,Company,Sector,Industry,Country,Volume,Price,stak score
STFC,State Auto Financial Corporation,Financial,Property & Casualty Insurance,USA,67586,34.79,-0.42100000000000004
STG,Sunlands Technology Group,Services,Education & Training Services,China,15729,2.35,-0.036000000000000004
STI,"SunTrust Banks, Inc.",Financial,Money Center Banks,USA,2564361,62.57,0.6579999999999999
STIM,"Neuronetics, Inc.",Healthcare,Medical Laboratories & Research,USA,250193,12.9,0.098
STIP,iShares 0-5 Year TIPS Bond ETF,Financial,Exchange Traded Fund,USA,90045,100.65,-0.556
STK,Columbia Seligman Premium Technology Growth Fund,Financial,Exchange Traded Fund,USA,39371,20.2,-0.297
STKL,SunOpta Inc.,Consumer Goods,Processed & Packaged Goods,Canada,357212,3.49,-0.317
STKS,"The ONE Group Hospitality, Inc.",Services,Restaurants,USA,93567,3.2,-0.7909999999999999
STL,Sterling Bancorp,Financial,Money Center Banks,USA,1679691,20.52,-0.131
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel & Iron,USA,3994043,29.08,0.524
STM,STMicroelectronics N.V.,Technology,Semiconductor - Broad Line,Switzerland,3606474,17.15,0.40399999999999997
STML,"Stemline Therapeutics, Inc.",Healthcare,Biotechnology,USA,458487,15.8,-0.18
STMP,Stamps.com Inc.,Technology,Application Software,USA,411511,41.2,0.46399999999999997
STN,Stantec Inc.,Services,Business Services,Canada,67916,24.45,0.675
STNE,StoneCo Ltd.,Technology,Application Software,Brazil,1197741,29.44,-0.091
STNG,Scorpio Tankers Inc.,Services,Shipping,Monaco,415090,26.0,0.12
STNL,Sentinel Energy Services Inc.,Conglomerates,Conglomerates,USA,110157,10.15,0.599
STNLU,Sentinel Energy Services Inc.,Conglomerates,Conglomerates,USA,0,10.26,-0.27
STON,StoneMor Partners L.P.,Services,Personal Services,USA,29122,1.97,-0.247
STOR,STORE Capital Corporation,Financial,REIT - Diversified,USA,1535421,35.46,0.37
STOT,SPDR DoubleLine Short Duration Total Return Tactical ETF,Financial,Exchange Traded Fund,USA,12956,49.63,-0.059000000000000004
STPP,iPath US Treasury Steepener ETN,Financial,Exchange Traded Fund,USA,630,28.66,-0.46399999999999997
STPZ,PIMCO 1-5 Year U.S. TIPS Index Exchange-Traded Fund,Financial,Exchange Traded Fund,USA,40535,52.63,0.47
