Ticker,Company,Sector,Industry,Country,Volume,Price,stak score
A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,2075520,73.32,-0.22
AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2518885,22.51,-0.168
AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,196859,13.89,0.555
AABA,Altaba Inc.,Financial,Asset Management,USA,6422393,69.26,-0.685
AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,724426,0.66,-0.002
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,3438,49.79,0.109
AAL,American Airlines Group Inc.,Services,Major Airlines,USA,8910811,32.15,0.249
AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,4649,13.94,-0.084
AAME,Atlantic American Corporation,Financial,Life Insurance,USA,1492,2.48,-0.204
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,537967,61.35,0.251
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,298608,8.88,-0.39899999999999997
AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,132334,49.4,0.11900000000000001
AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,870130,153.27,0.541
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,22062856,199.46,-0.345
AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,376512,48.03,-0.013999999999999999
AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,316388,0.6,-0.08199999999999999
AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,220745,41.93,0.068
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,1022225,69.66,-0.19899999999999998
AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,1014630,73.21,-0.315
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,251591,29.39,0.094
ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,1637270,19.79,-0.325
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,5346635,78.34,0.005
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,1880400,85.56,0.373
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,253887,37.96,0.40700000000000003
ABDC,Alcentra Capital Corporation,Financial,Asset Management,USA,24001,8.54,-0.16699999999999998
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,1211492,4.76,0.389
ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,13904910,4.82,-0.335
ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,135610,83.16,0.013000000000000001
ABIL,Ability Inc.,Technology,Communication Equipment,Israel,241789,0.97,0.40299999999999997
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,190496,6.33,-0.474
ABM,ABM Industries Incorporated,Services,Business Services,USA,243739,40.0,-0.361
ABMD,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,465821,260.33,0.159
ABR,"Arbor Realty Trust, Inc.",Financial,REIT - Diversified,USA,982604,12.43,0.384
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,6336554,84.94,-0.08800000000000001
ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,39047,33.45,-0.063
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,Canada,4449021,2.36,-0.478
AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,14306,35.11,0.20199999999999999
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,955478,25.73,0.315
ACAM,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,100,9.8,0.08
ACAMU,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,15400,10.01,0.026000000000000002
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,9193225,7.44,-0.588
ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,54091,16.9,0.344
ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,443109,47.34,-0.17
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,581775,7.89,0.36200000000000004
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,140758,17.51,0.08199999999999999
ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,3654,29.41,-0.21600000000000003
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,1257240,36.42,-0.273
ACGLO,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,51664,25.09,0.065
ACGLP,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,57934,24.09,0.439
ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,62681,9.06,0.7829999999999999
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,761377,34.52,0.35600000000000004
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,534357,2.88,0.637
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,99940,2.41,-0.243
ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,837469,47.38,0.773
ACIM,SPDR MSCI ACWI IMI ETF,Financial,Exchange Traded Fund,USA,3809,80.3,-0.044000000000000004
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,57206,5.72,-0.5579999999999999
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,695790,32.9,0.10099999999999999
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,116853,14.64,0.805
ACM,AECOM,Services,Technical Services,USA,2463213,36.73,-0.21600000000000003
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,92555,16.93,0.06
ACN,Accenture plc,Technology,Information Technology Services,Ireland,2071178,186.52,0.5329999999999999
ACNB,ACNB Corporation,Financial,Regional - Southwest  Banks,USA,3668,37.24,0.35200000000000004
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,683524,7.28,-0.14400000000000002
ACP,Aberdeen Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,122237,12.65,-0.17600000000000002
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,192529,15.16,-0.501
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,482523,4.99,0.643
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,792245,2.36,-0.235
ACSI,American Customer Satisfaction ETF,Financial,Exchange Traded Fund,USA,575,33.93,0.17300000000000001
ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,653670,1.01,0.341
ACT,AdvisorShares Vice ETF,Financial,Exchange Traded Fund,USA,7907,24.95,0.5539999999999999
ACTG,Acacia Research Corporation,Services,Business Services,USA,98627,3.1,-0.209
ACTT,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,1436700,9.72,-0.24
ACTTU,Act II Global Acquisition Corp.,Conglomerates,Conglomerates,USA,0,10.11,0.07
ACU,Acme United Corporation,Consumer Goods,Housewares & Accessories,USA,9831,21.39,-0.146
ACV,AllianzGI Diversified Income & Convertible Fund,Consumer Goods,Personal Products,USA,33898,23.53,0.317
ACWF,iShares Edge MSCI Multifactor Global ETF,Financial,Exchange Traded Fund,USA,2796,29.16,0.486
ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,1740508,73.94,-0.203
ACWV,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA,474976,92.75,0.9570000000000001
ACWX,iShares MSCI ACWI ex U.S. ETF,Financial,Exchange Traded Fund,USA,1043053,46.85,0.235
ACY,AeroCentury Corp.,Services,Rental & Leasing Services,USA,30052,7.45,-0.126
ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,280650,3.49,0.015
ADBE,Adobe Inc.,Technology,Application Software,USA,5110953,302.11,-0.887
ADC,Agree Realty Corporation,Financial,Property Management,USA,223797,68.23,0.521
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,75029,12.64,0.21100000000000002
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,2437022,112.56,0.298
ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,35694,1.93,-0.435
ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,4057348,41.3,-0.177
ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,620146,3.65,-0.046
ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Delivery,USA,299269,1.32,0.764
ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,484134,5.59,0.271
ADNT,Adient plc,Consumer Goods,Auto Parts,Ireland,1357152,22.17,-0.28
ADOM,"ADOMANI, Inc.",Consumer Goods,Auto Parts,USA,914145,0.32,-0.06
ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,1157403,169.61,-0.316
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,580,31.16,0.424
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,Financial,Exchange Traded Fund,USA,4236,21.88,-0.807
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,9470,40.25,-0.379
ADRO,"Aduro BioTech, Inc.",Healthcare,Biotechnology,USA,168416,1.9,-0.122
ADRU,Invesco BLDRS Europe Select ADR Index Fund,Financial,Exchange Traded Fund,USA,144,21.44,-0.49200000000000005
ADS,Alliance Data Systems Corporation,Services,Business Services,USA,689272,138.19,0.358
ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,2739879,169.45,0.511
ADSW,"Advanced Disposal Services, Inc.",Industrial Goods,Waste Management,USA,638728,32.09,-0.027000000000000003
ADT,ADT Inc.,Services,Security & Protection Services,USA,2098359,6.26,0.22399999999999998
ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,167981,16.52,-0.187
ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care,USA,102721,74.91,-0.389
ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,502449,11.45,-0.9059999999999999
ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,167340,15.52,-0.447
ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,102461,2.35,0.225
ADYX,"Adynxx, Inc.",Healthcare,Drug Manufacturers - Major,USA,9582,1.95,0.057
AE,"Adams Resources & Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,13928,34.13,-0.07200000000000001
AEE,Ameren Corporation,Utilities,Electric Utilities,USA,883970,77.36,-0.265
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,98881,7.23,-0.652
AEG,Aegon N.V.,Financial,Life Insurance,Netherlands,742414,4.9,0.413
AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,USA,80566,16.94,-0.177
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,14693,1.63,-0.066
AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,USA,211464,53.89,-0.022000000000000002
AEL,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,346792,27.51,-0.353
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,2483205,49.9,0.43799999999999994
AEMD,"Aethlon Medical, Inc.",Technology,Scientific & Technical Instruments,USA,56970,0.36,0.7809999999999999
AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,4466050,18.05,0.165
AEP,"American Electric Power Company, Inc.",Utilities,Electric Utilities,USA,2204217,90.87,-0.501
AER,AerCap Holdings N.V.,Services,"Air Services, Other",Netherlands,646331,50.79,-0.552
AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA,402560,32.13,0.414
AES,The AES Corporation,Utilities,Electric Utilities,USA,6071903,16.93,-0.833
AETI,"American Electric Technologies, Inc",Industrial Goods,Industrial Electrical Equipment,USA,129905,0.66,-0.667
AEY,"ADDvantage Technologies Group, Inc.",Services,Electronics Wholesale,USA,136477,1.6,0.364
AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,Canada,119301,2.7,-0.086
AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,30230,13.39,0.40399999999999997
AFG,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,365468,103.9,0.015
AFGE,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,24614,25.43,0.062
AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance,USA,178793,0.86,0.526
AFI,"Armstrong Flooring, Inc.",Industrial Goods,General Building Materials,USA,257292,10.96,-0.19899999999999998
AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA,42018,9.85,-0.413
AFIN,"American Finance Trust, Inc.",Financial,REIT - Diversified,USA,548763,11.16,-0.78
AFINP,"American Finance Trust, Inc.",Financial,REIT - Diversified,USA,12074,25.2,0.012
AFK,VanEck Vectors Africa Index ETF,Financial,Exchange Traded Fund,USA,21222,22.17,-0.307
AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,3207005,55.34,0.732
AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,879769,3.38,-0.23199999999999998
AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,43060,14.75,-0.081
AFTY,CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,4899,17.61,0.124
AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,6925641,7.38,0.45
AGBAU,AGBA Acquisition Limited,Conglomerates,Conglomerates,Hong Kong,10005,10.02,-0.109
AGCO,AGCO Corporation,Industrial Goods,Farm & Construction Machinery,USA,890439,75.27,0.2
AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,52673,9.52,0.272
AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,61632,3.89,-0.395
AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,854130,2.98,0.445
AGFS,"AgroFresh Solutions, Inc.",Conglomerates,Conglomerates,USA,299174,1.77,0.484
AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,4224211,111.41,-0.733
AGGE,IQ Enhanced Core Bond U.S. ETF,Financial,Exchange Traded Fund,USA,26,19.17,-0.445
AGGP,IQ Enhanced Core Plus Bond U.S. ETF,Financial,Exchange Traded Fund,USA,24002,19.49,-0.055999999999999994
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,416278,51.3,-0.731
AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,4257789,6.01,0.359
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,332442,51.3,-0.207
AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,220117,6.6,-0.32799999999999996
AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,36689,71.24,-0.611
AGM-A,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,11,65.81,0.25
AGMH,AGM Group Holdings Inc.,Technology,Application Software,Hong Kong,5321,15.74,-0.556
AGN,Allergan plc,Healthcare,Drugs - Generic,USA,3835740,130.82,0.077
AGNC,AGNC Investment Corp.,Financial,REIT - Residential,USA,7488956,16.84,-0.581
AGNCB,AGNC Investment Corp.,Financial,REIT - Residential,USA,10332,25.83,0.051
AGNCM,AGNC Investment Corp.,Financial,REIT - Residential,USA,62710,25.47,0.8540000000000001
AGNCN,AGNC Investment Corp.,Financial,REIT - Residential,USA,90663,26.46,-0.294
AGND,WisdomTree Negative Duration U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,1285,41.59,-0.17800000000000002
AGO,Assured Guaranty Ltd.,Financial,Surety & Title Insurance,Bermuda,552537,43.06,-0.062
AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA,794658,25.17,0.23800000000000002
AGR,"Avangrid, Inc.",Utilities,Gas Utilities,USA,287429,51.62,0.679
AGRO,Adecoagro S.A.,Consumer Goods,Farm Products,Luxembourg,505262,7.03,-0.115
AGRX,"Agile Therapeutics, Inc.",Healthcare,Drugs - Generic,USA,297621,1.42,0.46299999999999997
AGS,"PlayAGS, Inc.",Services,Gaming Activities,USA,243268,19.31,-0.365
AGT,iShares MSCI Argentina and Global Exposure ETF,Financial,Exchange Traded Fund,USA,1396,27.46,0.867
AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,42333,3.78,0.65
AGX,"Argan, Inc.",Industrial Goods,Heavy Construction,USA,112251,40.65,-0.083
AGYS,"Agilysys, Inc.",Technology,Application Software,USA,67744,22.41,0.39899999999999997
AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,717576,115.27,0.292
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,9591,47.69,0.8140000000000001
AHC,A.H. Belo Corporation,Services,Publishing - Newspapers,USA,10316,3.76,-0.113
AHH,"Armada Hoffler Properties, Inc.",Financial,REIT - Diversified,USA,197558,17.31,0.695
AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Appliances & Equipment,USA,1022,1.82,0.49
AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel,USA,1371781,3.21,0.331
AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment,USA,410430,7.01,-0.08
AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,75750,60.86,0.381
AIEQ,AI Powered Equity ETF,Financial,Exchange Traded Fund,USA,29373,26.43,-0.268
AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA,21911,14.74,0.021
AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,4985681,54.25,0.736
AIHS,Senmiao Technology Limited,Financial,Credit Services,China,173639,2.8,0.166
AIIQ,Equbot AI Powered International Equity ETF,Financial,Exchange Traded Fund,USA,1085,25.33,0.147
AIMC,Altra Industrial Motion Corp.,Industrial Goods,Industrial Electrical Equipment,USA,377043,36.48,0.7190000000000001
AIMT,"Aimmune Therapeutics, Inc.",Healthcare,Biotechnology,USA,583817,20.24,0.634
AIN,Albany International Corp.,Industrial Goods,Textile Industrial,USA,195708,80.64,-0.281
AINC,Ashford Inc.,Financial,Asset Management,USA,6496,35.5,-0.19
AINV,Apollo Investment Corporation,Financial,Asset Management,USA,395121,15.82,-0.585
AIPT,Predictive Oncology Inc.,Healthcare,Medical Instruments & Supplies,USA,0,0.64,-0.308
AIQ,Global X Future Analytics Tech ETF,Financial,Exchange Traded Fund,USA,8696,16.45,0.61
AIR,AAR Corp.,Industrial Goods,Aerospace/Defense Products & Services,USA,212247,33.98,-0.6459999999999999
AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,160236,15.07,0.41
AIRI,Air Industries Group,Industrial Goods,Aerospace/Defense Products & Services,USA,24917,1.0,0.349
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Financial,Exchange Traded Fund,USA,9536,25.83,0.748
AIRT,"Air T, Inc.",Services,Air Delivery & Freight Services,USA,1578,19.0,-0.47100000000000003
AIT,"Applied Industrial Technologies, Inc.",Services,Industrial Equipment Wholesale,USA,123690,59.28,-0.5529999999999999
AITB,"AIT Therapeutics, Inc.",Conglomerates,Conglomerates,USA,81278,5.9,0.752
AIV,Apartment Investment and Management Company,Financial,REIT - Residential,USA,1523062,51.69,0.20199999999999999
AIZ,"Assurant, Inc.",Financial,Accident & Health Insurance,USA,387873,107.71,-0.313
AIZP,"Assurant, Inc.",Financial,Insurance Brokers,USA,2305,113.16,0.36200000000000004
AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,1639164,87.5,-0.72
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrial Goods,Aerospace/Defense - Major Diversified,USA,549437,42.95,0.23600000000000002
AJX,Great Ajax Corp.,Financial,REIT - Diversified,USA,51201,13.25,-0.408
AJXA,Great Ajax Corp. 7.25 CV SR NT 24,Financial,Exchange Traded Fund,USA,1581,25.68,0.297
AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,USA,1141772,79.88,-0.07200000000000001
AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA,771415,4.46,-0.397
AKCA,"Akcea Therapeutics, Inc.",Healthcare,Biotechnology,USA,284574,22.9,0.75
AKER,"Akers Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,73411,0.59,0.293
AKG,Asanko Gold Inc.,Basic Materials,Gold,Canada,4146493,0.58,-0.345
AKO-A,Embotelladora Andina S.A.,Consumer Goods,Beverages - Soft Drinks,Chile,646,18.15,0.379
AKO-B,Embotelladora Andina S.A.,Consumer Goods,Beverages - Soft Drinks,Chile,21943,21.45,0.508
AKR,Acadia Realty Trust,Financial,Property Management,USA,381369,28.75,0.156
AKRX,"Akorn, Inc.",Healthcare,Drugs - Generic,USA,1312394,4.74,0.161
AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron,USA,10427899,2.2,0.61
AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA,468863,6.68,0.742
AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom,126618,2.07,-0.555
AL,Air Lease Corporation,Services,Rental & Leasing Services,USA,583715,40.41,-0.055999999999999994
ALAC,Alberton Acquisition Corporation,Conglomerates,Conglomerates,Hong Kong,15096,10.12,-0.557
ALACU,Alberton Acquisition Corporation,Conglomerates,Conglomerates,Hong Kong,0,10.3,0.312
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,1999911,69.49,0.41100000000000003
ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA,16055,31.79,0.41100000000000003
ALC,"Alcon, Inc.",Healthcare,Medical Instruments & Supplies,USA,779238,59.57,-0.5820000000000001
ALCO,"Alico, Inc.",Consumer Goods,Farm Products,USA,5628,30.45,0.332
ALDR,"Alder BioPharmaceuticals, Inc.",Healthcare,Biotechnology,USA,746077,11.54,0.027000000000000003
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA,169504,7.0,0.253
ALE,"ALLETE, Inc.",Utilities,Diversified Utilities,USA,203911,85.8,-0.47600000000000003
ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA,103068,18.33,-0.08900000000000001
ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,USA,189694,23.76,0.348
ALFA,AlphaClone Alternative Alpha ETF,Financial,Exchange Traded Fund,USA,1794,53.08,0.5770000000000001
ALG,Alamo Group Inc.,Industrial Goods,Farm & Construction Machinery,USA,34372,101.01,0.912
ALGN,"Align Technology, Inc.",Healthcare,Medical Appliances & Equipment,USA,768505,295.67,-0.299
ALGR,Allegro Merger Corp.,Conglomerates,Conglomerates,USA,100,10.05,0.5660000000000001
ALGRU,Allegro Merger Corp.,Conglomerates,Conglomerates,USA,0,10.51,0.258
ALGT,Allegiant Travel Company,Services,Regional Airlines,USA,99274,139.51,-0.344
ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Major,USA,155119,0.92,-0.183
ALJJ,"ALJ Regional Holdings, Inc.",Services,Business Services,USA,29744,1.57,0.179
ALK,"Alaska Air Group, Inc.",Services,Regional Airlines,USA,2017985,60.72,-0.517
ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland,989349,22.41,-0.087
ALL,The Allstate Corporation,Financial,Property & Casualty Insurance,USA,2870933,103.55,0.245
ALLE,Allegion plc,Services,Security & Protection Services,Ireland,498661,108.26,0.342
ALLK,Allakos Inc.,Healthcare,Biotechnology,USA,191345,44.63,-0.059000000000000004
ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA,487219,27.4,-0.1
ALLT,Allot Ltd.,Technology,Communication Equipment,Israel,18081,7.07,-0.385
ALLY,Ally Financial Inc.,Financial,Mortgage Investment,USA,2760172,29.99,0.061
ALNA,"Allena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,181171,4.93,-0.308
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,388194,73.44,-0.281
ALO,Alio Gold Inc.,Basic Materials,Gold,Canada,405716,0.73,0.408
ALOT,"AstroNova, Inc.",Technology,Computer Peripherals,USA,69426,25.97,0.043
ALPN,"Alpine Immune Sciences, Inc.",Healthcare,Biotechnology,USA,4043,4.49,0.588
ALRM,"Alarm.com Holdings, Inc.",Technology,Application Software,USA,390233,53.67,-0.22399999999999998
ALRN,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA,108025,0.84,0.373
ALSK,"Alaska Communications Systems Group, Inc.",Technology,Telecom Services - Domestic,USA,64474,1.68,-0.628
ALSN,"Allison Transmission Holdings, Inc.",Consumer Goods,Auto Parts,USA,921992,46.0,-0.27699999999999997
ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA,127677,2.31,0.731
ALTM,Altus Midstream Company,Basic Materials,Independent Oil & Gas,USA,246838,4.0,0.7120000000000001
ALTR,Altair Engineering Inc.,Technology,Semiconductor - Specialized,USA,761290,39.94,0.478
ALTS,ProShares Morningstar Alternatives Solution ETF,Financial,Exchange Traded Fund,USA,300,37.43,0.314
ALTY,Global X SuperDividend Alternatives ETF,Financial,Exchange Traded Fund,USA,6929,14.96,-0.455
ALV,"Autoliv, Inc.",Consumer Goods,Auto Parts,Sweden,583883,68.01,0.239
ALX,"Alexander's, Inc.",Financial,REIT - Retail,USA,7029,386.12,-0.20800000000000002
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2412709,128.83,0.217
ALYA,Alithya Group Inc.,Technology,Information Technology Services,Canada,12437,2.67,-0.8540000000000001
AM,Antero Midstream Corporation,Basic Materials,Oil & Gas Pipelines,USA,6317359,11.76,0.24
AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1115462,8.62,0.478
AMAL,Amalgamated Bank,Financial,Regional - Northeast Banks,USA,28871,17.01,0.602
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,8632604,43.21,0.266
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,336586,43.97,-0.17
AMBC,"Ambac Financial Group, Inc.",Financial,Surety & Title Insurance,USA,416567,16.74,-0.6920000000000001
AMBO,Ambow Education Holding Ltd.,Services,Education & Training Services,China,7865,3.76,0.076
AMBR,"Amber Road, Inc.",Technology,Application Software,USA,131538,13.01,0.20600000000000002
AMC,"AMC Entertainment Holdings, Inc.",Services,"Movie Production, Theaters",USA,2732363,10.93,0.7609999999999999
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,Financial,Exchange Traded Fund,USA,1660,28.19,0.19
AMCI,AMCI Acquisition Corp.,Conglomerates,Conglomerates,USA,0,9.94,0.9009999999999999
AMCN,AirNet Technology Inc.,Services,Marketing Services,China,0,1.65,0.20800000000000002
AMCX,AMC Networks Inc.,Services,Entertainment - Diversified,USA,365078,55.78,-0.092
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,USA,72202213,30.01,0.028999999999999998
AME,"AMETEK, Inc.",Industrial Goods,Diversified Machinery,USA,1159128,88.58,0.462
AMED,"Amedisys, Inc.",Healthcare,Home Health Care,USA,338294,120.65,0.168
